小区名,户型,楼型,地址,热度,tag1,tag2,tag3,priceInfo
['绿地爱丽舍公馆西客站高铁站交通方便'],['绿地中央广场四区 '],[' | 2室1厅 | 95.65平米 | 南 北 | 其他 | 有电梯'],['高楼层(共32层)2016年建板楼  -  '],['西客站'],['7人关注 / 共10次带看 / 29天以前发布'],['VR房源'],[],['随时看房'],"['140', '单价14637元/平米']"
['封闭式小区   公摊小  南北通透  采光好'],['荣祥花园 '],[' | 2室2厅 | 85.19平米 | 南 北 | 其他 | 无电梯'],['高楼层(共6层)2003年建板楼  -  '],['腊山'],['5人关注 / 共11次带看 / 29天以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['130', '单价15261元/平米']"
['甸柳三区地矿局宿舍 中间楼层三居室 带产权地下室'],['甸柳三区地矿局宿舍 '],[' | 3室2厅 | 116.61平米 | 南 北 | 简装 | 无电梯'],['中楼层(共7层)2004年建板楼  -  '],['甸柳'],['25人关注 / 共1次带看 / 5个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['360', '单价30873元/平米']"
['棋盘小区五区 南北通透小两室  双气入户 采光充足'],['棋盘小区五区 '],[' | 2室1厅 | 53.33平米 | 南 北 | 简装 | 无电梯'],['高楼层(共6层)1993年建板楼  -  '],['佛山街'],['28人关注 / 共8次带看 / 10个月以前发布'],['VR房源'],[],['随时看房'],"['119', '单价22314元/平米']"
['公安局单位宿舍 一梯一户 南北通透'],['山大北路51号 '],[' | 3室2厅 | 107.99平米 | 南 北 | 简装'],['高楼层(共6层)板楼  -  '],['山大路'],['16人关注 / 共1次带看 / 9个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['201', '单价18613元/平米']"
['正大城市花园一期  精装两居 满二 采光视野好'],['正大城市花园 '],[' | 2室2厅 | 98.94平米 | 南 北 | 精装 | 无电梯'],['中楼层(共7层)2006年建板楼  -  '],['燕山'],['42人关注 / 共7次带看 / 8个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['205', '单价20720元/平米']"
['玫瑰花园、多层带电梯、南北通透、采光充足'],['玫瑰花园 '],[' | 3室2厅 | 146.68平米 | 南 北 | 精装'],['高楼层(共7层)2004年建板楼  -  '],['七里河'],['20人关注 / 共1次带看 / 8个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['240', '单价16363元/平米']"
['经十路 世购 桃园小区北区  两室一厅'],['桃园小区北区 '],[' | 2室1厅 | 59.71平米 | 南 | 简装 | 无电梯'],['低楼层(共5层)1996年建板楼  -  '],['世购'],['39人关注 / 共2次带看 / 7个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['93', '单价15576元/平米']"
['三箭瑞景苑花园洋房 户型好 爬药山很方便 空气清新'],['三箭瑞景苑 '],[' | 3室2厅 | 140.98平米 | 南 北 | 简装'],['低楼层(共7层)2018年建板楼  -  '],['药山'],['3人关注 / 共1次带看 / 6个月以前发布'],['VR房源'],[],['随时看房'],"['245', '单价17379元/平米']"
['汇统花园 四室两厅 南北通透 采光好'],['汇统花园 '],[' | 4室2厅 | 210平米 | 南 北 | 其他 | 无电梯'],['高楼层(共6层)2004年建板楼  -  '],['建设路'],['2人关注 / 共0次带看 / 5个月以前发布'],['VR房源'],[],['随时看房'],"['370', '单价17620元/平米']"
['丰汇小区、满五唯一、南北通透、业主诚心出售、楼层好'],['丰汇小区 '],[' | 3室2厅 | 130.65平米 | 南 北 | 简装'],['中楼层(共6层)2001年建板楼  -  '],['水屯'],['5人关注 / 共1次带看 / 4个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['245', '单价18753元/平米']"
['西客站，三馆，宜家家居，恒大世纪广场精装三室，通透'],['恒大世纪广场 '],[' | 3室1厅 | 94.87平米 | 南 | 其他 | 有电梯'],['中楼层(共32层)2018年建板楼  -  '],['西客站'],['36人关注 / 共23次带看 / 4个月以前发布'],['VR房源'],[],['随时看房'],"['140', '单价14758元/平米']"
['双气电梯房，西向视野好，楼层好，生活便捷，交通便利'],['诚基中心 '],[' | 2室1厅 | 31.06平米 | 北 | 简装 | 有电梯'],['低楼层(共9层)2010年建塔楼  -  '],['历东'],['10人关注 / 共9次带看 / 2个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['99', '单价31874元/平米']"
['建设路通联花园 南北通透 采光充足 两室朝阳'],['通联花园 '],[' | 3室2厅 | 129.29平米 | 南 北 | 其他 | 有电梯'],['中楼层(共12层)2005年建板楼  -  '],['二七新村'],['15人关注 / 共4次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['279', '单价21580元/平米']"
['燕东山庄中间楼层 上燕山通透三室'],['燕东山庄 '],[' | 3室2厅 | 102.86平米 | 南 北 | 其他 | 无电梯'],['高楼层(共6层)1998年建板楼  -  '],['燕山'],['5人关注 / 共4次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['210', '单价20417元/平米']"
['甸柳六区 南北通透 带院 有钥匙 随时看房'],['甸柳六区 '],[' | 3室1厅 | 77.33平米 | 南 北 | 简装 | 无电梯'],['低楼层(共5层)1990年建板楼  -  '],['甸柳'],['6人关注 / 共11次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['202', '单价26122元/平米']"
['单位宿舍  停车方便   三室两厅 看房方便'],['铁配路7号 '],[' | 3室2厅 | 96.09平米 | 南 北 | 其他 | 无电梯'],['高楼层(共6层)1995年建板楼  -  '],['段店'],['0人关注 / 共0次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],[],"['160', '单价16652元/平米']"
['堤口路+大润发+齐鲁花园+改善房+三居室+看房方便'],['齐鲁花园 '],[' | 3室2厅 | 127.39平米 | 南 北 | 精装 | 无电梯'],['低楼层(共6层)2005年建板楼  -  '],['堤口路'],['5人关注 / 共0次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],[],"['248', '单价19468元/平米']"
['此房满五年，免增值税，采光好，交通便利，生活方便'],['七里堡北区 '],[' | 3室2厅 | 151.26平米 | 南 | 精装'],['高楼层(共7层)板楼  -  '],['祝甸'],['1人关注 / 共0次带看 / 1个月以前发布'],['VR房源'],['房本满五年'],[],"['212.8', '单价14069元/平米']"
['满五年唯一 双气 电梯房 观景房'],['保利大明湖 '],[' | 3室2厅 | 99.89平米 | 南 北 | 精装 | 有电梯'],['高楼层(共11层)2011年建板楼  -  '],['大明湖站'],['9人关注 / 共1次带看 / 31天以前发布'],['VR房源'],['房本满五年'],[],"['280', '单价28031元/平米']"
['金泉小区 两居室 南北通透 有装修 泺口单位宿舍'],['金泉小区 '],[' | 2室2厅 | 86.58平米 | 南 北 | 简装 | 无电梯'],['低楼层(共6层)2002年建板楼  -  '],['泺口'],['0人关注 / 共0次带看 / 29天以前发布'],['VR房源'],['房本满五年'],[],"['140', '单价16171元/平米']"
['鑫诚苑 大三居 简单装修 采光好，视野好 交通便利'],['鑫诚苑 '],[' | 3室2厅 | 113.17平米 | 南 北 | 简装'],['高楼层(共7层)暂无数据  -  '],['化纤厂路'],['4人关注 / 共0次带看 / 28天以前发布'],['VR房源'],['房本满五年'],[],"['200', '单价17673元/平米']"
['南北通透 封闭式小区 精装修 双气 楼层好'],['金牛王府庄园 '],[' | 2室2厅 | 106.02平米 | 南 北 | 精装 | 无电梯'],['中楼层(共6层)2002年建板楼  -  '],['标山'],['0人关注 / 共0次带看 / 26天以前发布'],['VR房源'],['房本满五年'],[],"['212', '单价19997元/平米']"
['南辛苑  三室两厅  成熟社区  和谐商圈  免双税'],['南辛苑 '],[' | 3室2厅 | 148.94平米 | 南 北 | 精装 | 有电梯'],['高楼层(共17层)2006年建板楼  -  '],['南辛庄'],['1人关注 / 共0次带看 / 24天以前发布'],['VR房源'],['房本满五年'],[],"['249', '单价16719元/平米']"
['重汽滑车场宿舍  双气 三室 中间楼层'],['无影山路9号院 '],[' | 3室2厅 | 91.87平米 | 南 北 | 简装 | 无电梯'],['中楼层(共6层)1996年建板楼  -  '],['无影山'],['0人关注 / 共0次带看 / 21天以前发布'],['VR房源'],['房本满五年'],[],"['160', '单价17416元/平米']"
['绿地国际花都 两居室南向 证过两年  采光充足'],['绿地国际花都 '],[' | 2室2厅 | 84.52平米 | 南 | 毛坯 | 有电梯'],['高楼层(共30层)2012年建板楼  -  '],['腊山'],['1人关注 / 共1次带看 / 9天以前发布'],['VR房源'],[],['随时看房'],"['125', '单价14790元/平米']"
['环山路国旅宿舍 中间层 南北通透有地下室 大院停车'],['环山路46到136号 '],[' | 2室2厅 | 87.8平米 | 南 北 | 简装 | 无电梯'],['中楼层(共5层)1995年建板楼  -  '],['环山'],['3人关注 / 共2次带看 / 8天以前发布'],['VR房源'],[],['随时看房'],"['235', '单价26766元/平米']"
['老屯铁路小区，单位宿舍，带天然气+暖气，看房方便。'],['老屯铁路小区 '],[' | 2室1厅 | 66.86平米 | 南 北 | 其他 | 无电梯'],['低楼层(共6层)1998年建板楼  -  '],['匡山区'],['0人关注 / 共0次带看 / 5天以前发布'],['VR房源'],['房本满五年'],['随时看房'],"['100', '单价14957元/平米']"
['舜耕路沿线  有车位地下室 双气  看房方便'],['瑞驰舜耕上城 '],[' | 3室2厅 | 148.47平米 | 南 北 | 简装 | 有电梯'],['低楼层(共18层)2011年建板楼  -  '],['玉函'],['11人关注 / 共0次带看 / 一年前发布'],['VR房源'],['房本满五年'],['随时看房'],"['340', '单价22901元/平米']"
['二环东路5557号 3室2厅 370万'],['二环东路5557号 '],[' | 3室2厅 | 151.7平米 | 南 北 | 简装 | 无电梯'],['中楼层(共7层)2008年建板楼  -  '],['甸柳'],['2人关注 / 共0次带看 / 29天以前发布'],['VR房源'],[],[],"['370', '单价24391元/平米']"
